Area_code,Area_name,ow_obs,hyp_ten,low_bw,alc,smoke,activity,eating,sti_screen,teen_preg,in_eet,pupil_abs,ey_dev,training,ks4_dev,low_pay,pov_child,unempl,wp_safety,incare_child,avoid_mort,suicide,inf_mort,dementia,disability,diff_adls,kidney,frailty,cancer,diab,srwb_sat,srwb_worth,srwb_hap,srwb_anx,depres,semh_child,self_harm,air_poll,pub_greenspace,priv_greenspace,env_noise,road_safety,road_traff,rough_sleep,house_afford,GP_dist,pharm_dist,sport_dist,crime_pers,hle,musculo,resp,cvd,ow_obs_child,drug,can_screen,vac
E09000029,Sutton,60.07021147,12.8,2.248677249,579.04,14.1,57.45237698,48.62973913,776.828125,14.12259615,1.2,9.75021,72.70550678,17.9,79.6,44.7,10.8,4.7,787,45.29,194.7,7.662559108,4.455760662,0.77,9.8,27.65,3.6,610.18,2.89,6.81,7.88,8.04,7.79,2.64,9.95,12.94,157.53,11.4547,432.9086998,87.7,5.834277676,859.44,0.010800358,2.444688913,11.44,0.54,0.54,0.37,54.03740374,65.40486102,0.83,3.69,1.308,25.56095463,34,70.0313541,88.38925415
E09000030,Tower Hamlets,49.10718651,7.37,4.400301735,492.56,20.3,67.18760892,51.38178609,2431.991455,11.44067797,2.7,9.39685,69.3877551,11.6,63.8,11.6,21.4,5.6,122,41.81,258.1,9.808344719,4.271930471,0.29,16.7,27.38,2.69,568.66,1.3,6.67,7.82,7.78,7.73,2.77,7.73,16.58,64.88,12.8954,209.1384991,60.3,12.94597189,1817.13,0.031484302,3.147574007,14.5,0.35,0.35,0.26,92.05080184,58.63588581,0.325,2.765,0.69,31.43195843,38,59.42889412,86.13994774
E09000031,Waltham Forest,54.4892022,11.03,2.784562775,485.35,11.7,63.01436568,52.68435953,1499.464111,13.17882299,1.7,12.66623,75.41339116,18.8,63,39.8,19,4,288,44.01,222.5,8.919991118,3.104244874,0.45,18.5,27.94,3.58,486.36,1.79,6.92,7.46,7.81,7.51,2.98,7.38,15.97,53.1,13.0601,429.1538996,86,25.43278265,1170.43,0.015675299,7.950849295,15.18,0.42,0.42,0.37,75.19696422,63.9904532,0.43,2.88,0.912,31.42784535,24,65.55661842,80.48207011
E09000032,Wandsworth,55.22340545,8.06,2.602579132,548.64,12.2,72.2859275,59.3422778,2178.578125,11.29943503,1.5,10.10449,76.34238787,18.9,71.4,22.6,9.1,3.9,256,48.72,213.5,9.627761658,2.381285894,0.44,10.3,21.23,1.41,430.67,1.81,4.34,7.65,7.71,7.5,3.15,7.29,16.84,84.93,12.37,372.0302431,72.9,11.05142912,1778.73,0.016112772,7.657577633,14.88,0.41,0.41,0.33,70.28737357,67.2866847,0.455,2.475,0.728,25.55365568,27,63.34849955,83.49057445
E09000033,Westminster,47.97586112,7.83,2.700348432,487.01,11.5,68.83359083,58.24510269,2587.010986,6.768687463,1.1,10.63982,71.84191955,21.6,73.6,12.5,8,4.9,172,45.17,165.5,5.943085188,3.008502289,0.47,19.4,27.53,1.36,380.12,1.86,4.28,7.66,7.75,7.38,3.36,5.91,15.81,65.11,12.9499,298.2598931,63,64.50367762,2679.51,0.026209477,119.8477229,22,0.2,0.2,0.21,245.2609234,64.18856042,0.385,2.14,0.868,29.42115305,30,53.54555729,75.38238001
E10000003,Cambridgeshire,58.93256334,12.68894344,3.03519535,690.41,13.6600692,68.57366798,59.68753337,550.3585205,11.42519452,2.7,9.63083,71.17767189,20.3,66.1,17.7,9.892152661,2.906078909,266,52.48,185.4819241,8.755491237,3.533400181,0.675710884,19.2,27.9643674,2.676892541,545.06,2.991830348,5.750931617,7.8,7.95,7.65,2.83,9.597987325,13.69,243.52,10.062,2317.54272,90.45659191,5.116564299,261.12,0.001688376,8.749282405,9.01,1.200626464,1.200626464,0.577558551,58.06760586,65.49999263,0.819006977,3.993918884,1.520617069,22.9575656,40,70.38537837,90.71148487
E10000006,Cumbria,62.61739735,16.36547021,2.651708312,658.14,13.70816736,67.19073614,58.07411503,603.1246948,15.64986737,2.2,11.03785,70.01386413,22.4,65,24.5,15.42499519,2.865595083,295,71.8,238.7519549,12.4,3.731343284,1.036683696,23.8,34.76512227,5.351259759,576.35,3.975599699,7.494165946,7.84,7.93,7.54,2.59,12.98769033,14.89,225.74,5.9612,1327.337472,90.61088548,4.538131436,313.96,0.000585564,2.004457914,5.47,1.773213306,1.773213306,0.5496134,62.80768429,64.81789139,0.85780508,4.706892446,2.421561472,30.63765365,50,74.47628317,93.95350847
E10000007,Derbyshire,65.27091028,16.54348236,2.380595898,755.41,13.86324337,67.25802335,57.38494925,551.3812866,15.77002053,2.9,10.25546,70.83283403,20.9,64,28.7,11.6632715,4.067129733,288,46.96,220.9878752,8.4,3.596648976,0.96590232,23.6,34.24036281,5.860628851,578.26,3.506966513,7.606581538,7.87,8.04,7.69,2.7,12.51034143,15.15,260.42,7.8029,1219.049635,92.86755871,4.466567047,222.81,0.002104134,5.14983508,6.14,1.075590523,1.075590523,0.483540298,43.95698255,61.62861562,0.761284728,4.64703166,2.160388695,28.44267974,53,74.7082166,93.41475756
E10000008,Devon,60.12264515,15.96955248,2.577734816,546.76,13.32552654,72.75691872,62.28801168,555.1372681,13.76906318,3.1,10.26217,71.71899125,23.1,63.9,26.5,12.2022988,2.384947805,289,47.95,196.067777,11.2174591,3.346915017,0.995291,21.3,33.53451927,5.006908072,579.82,3.874053807,6.887300542,7.82,7.99,7.82,2.74,10.62484876,16.96,210.4,6.4622,1585.117255,88.91761991,4.158662437,267.35,0.000880374,6.915751063,9.54,2.098271075,2.098271075,0.657103797,5.635708412,66.70239461,0.913887722,4.549553536,2.197978119,24.45704583,31,73.93568528,90.96059219
E10000011,East Sussex,61.78356299,17.04442754,2.660054103,,13.72601075,67.42964629,61.3204835,647.963501,15.59431674,3.8,12.47819,76.47058824,14.6,61.8,27.8,15.6094596,3.729858995,267,56.86,214.9271408,13.660393,3.311916275,1.170596394,20,34.06473701,5.614448544,,4.070153461,6.914066662,7.65,7.81,7.58,2.83,13.61290678,13.9,,9.6703,1310.020551,88.29948386,5.150021081,440.89,0.001672683,13.34319047,10.1,1.0313301,1.0313301,0.544416217,53.02656016,64.22787356,0.835579924,4.386380923,2.216276677,26.45340775,19,70.38793947,89.24097687
E10000012,Essex,62.53737733,15.16791117,2.276731264,618.35,14.02387655,66.0715145,55.81125627,576.678772,14.10551436,2.5,10.42928,73.76760563,15.5,63.3,23.5,11.23021301,3.505461562,255,33.02,205.5540719,11.66154849,2.963263649,0.858174175,19.2,30.90503942,4.498693239,585.05,3.186941577,6.704762162,7.71,7.86,7.58,2.79,9.89968824,13.33,166.54,10.2802,1053.317809,89.26397216,4.829305933,259.09,0.002873282,4.736886269,10.28,1.039440959,1.039440959,0.533643146,69.89275689,64.76465065,0.676221334,4.040058085,1.685567861,26.6425703,38,70.65659803,90.70836315
